source,english_sentence,hindi_sentence
indic2012,"State 33 district councils, 235 village panchayat Samithia and 9125 are Panchayte",राज्य में ३३ जिला परिषदें २३५ पंचायत समितियां और ९१२५ ग्राम पंचायतें हैं।
indic2012,"This Ishwar is called Allah (in Arabic) for Muslims, Khuda (in Parsi), for Christians (in English) God, and Jews (in Hebrew) Jehovah.",इसी ईश्वर को मुसल्मान (अरबी में) अल्लाह (फ़ारसी में) ख़ुदा ईसाई (अंग्रेज़ी में) गॉड और यहूदी (इब्रानी में) याह्वेह कहते हैं।
tides,"The divers The divers in our ponds , lakes and tanks include many diverse insects .","गोताखोर हमारे तालाबों , झीलों और टंकियों में विविध प्रकार के गोताखोर कीट पाए जाते हैं ."
tides,It is believed that quite a number of Jarawas are killed by the Bush police in the process .,ऐसा विश्वास किया जाता है कि इस प्रकार कुछ जरावा बुश पुलिस द्वारा अवश्य मारे जाते हैं .
tides,The Maharshi was enchanted and sat down for his evening meditation under a pair of chhatim trees .,महर्षि जैसे मोहित हो उठे और संध्या-वंदन के लिए धातिम वृक्ष के जोड़े के नीचे बैठ गए .
ted,to the enactment of PIPA and SOPA,पिपा और सोपा के कानून बनने से
tides,"DNA Damage and Repair Theory : We all use a cycle , or a motorbike or a car to commute from one place to another .","डी एन ए क्षति एवं प्रतिपूर्ति सिद्धांत : हम सब एक स्थान से दूसरे स्थान पर जाने के लिए साइकिल , मोटरसाइकल , कार , या अन्य वाहनों का प्रयोग करते हैं ."
indic2012,Musharraf could break up without a change of political leadership.,1. श्रीकृष्ण-साहित्य का मुख्य विषय कृष्ण की लीलाओं का गान करना है।
ted,"Most of the time,","अधिकांश समय,"
indic2012,"Dial-up connection, connection that connects one computer to another computer which has internet link, via modem , on the standard phone line is termed as dial-up connection.",डायल-अप कनेक्शन एक कम्प्यूटर से मोडेम द्वारा इंटरनेट से जुडे किसी अन्य कम्प्यूटर से स्टेण्डर्ड फोन लाइन पर कनेक्शन को डायल अप कनेक्शन कहते है।
ted,And we rely on others. We rely on proxies.,और हम दूसरों पे निर्भर रहते हैं | हम प्रतिनिधि पे भरोसा करते हैं |
indic2012,"Hindi ASR- Hindi (ASR) open source, It changes Hindi speechs into texts.",हिन्दी एऍसआर - हिन्दी (एऍसआर) मुक्तस्रोत यह हिन्दी के वाक् (स्पीच) को पहचानकर चैक्स्ट में बदलता है।
tides,"In many developed countries there is an internal system that ensures the brightest is not left behind-in Britain , for instance .","भत-से विकसित देशों , मसलन ब्रिटेन में आंतरिक व्यवस्था ही इस तरह की है कि प्रतिभाशाली व्यैक्त पीछे नहीं छूट सकता ."
tides,The answers to these questions are not too difficult to guess .,इन सवालों के जवाब का अनुमान लगाना कठिन नहीं है .
ted,to the policymakers.,नीति निर्माताओं तक.
indic2012,"In Europe while taking care of his health, Subhashbabu kept on persuing his task,",यूरोप में सुभाषबाबू ने अपनी सेहत का ख्याल रखते समय अपना कार्य जारी रखा।
tides,"The last , though by no means the least favourable factor for cultural unity is the fact that Hinduism constitutes for the great majority of the people a community of spiritual , moral and social ideas and institutions , which will become more pronounced when a common national language has pulled down the barriers of linguistic difference .","यद्यपि अंतिम , किंतु किसी भी तरह सांस्कृतिक एकता के लिए कम अनुकूल यह तथ्य है कि हिंदुत्व बहुत बड़ी संख़्या के लोगों के लिए एक आधयात्मिक , नैतिक एवं सामाजिक विचारों तथा प्रथाओं का एक समुदाया उत्पन्न करते है , जो और अधिक स्पष्ट तब हो जायेगा , जब समान राष्ट्र भाषा संबंधी बाधाओं को हटा देगी ."
indic2012,"Utuber, a general viewer of U tube",यू टूबर यू ट्यूब का एक सामान्य दर्शक
ted,"they look at each other, it's a knowing glance - “God, she's crazy!”","वे एक दूसरे की तरफ देखते हैं - एक अनुभवी निगाह से - “ हे भगवान, वो तो पागल हैं!”"
tides,The Mahabharata was translated by a board of Hindu and Muslim scholars of which Mullah Abdul Qadir was a member .,"महाभारत का अनुवाद मुसलमान और हिंदू विद्वानों के एक बोर्ड द्वारा किया गया , जिसके मुल्ला अब्दुल कदीर एक सदस्य थे ."
indic2012,There are many shortcomings in this Constitution.,बड़ी कमियां हैं इस संविधान में
tides,"Stephen Cohen , senior fellow at the Brookings Institution , says , “ Gore can be expected to be tougher on proliferation , and perhaps continue the punitive sanctions policy towards India and Pakistan . ”","ब्रुकिंग्स इंस्टीट्यूशन में वरिष् अध्येता स्टीफन कोहेन कहते हैं , ' ' गोर से परमाणु अप्रसार पर कड़ै रुख की उमीद की जा सकती है और शायद वे भारत तथा पाकिस्तान के खिलफ दंड़ात्मक प्रतिबंधों की नीति जारी रखें . ' '"
tides,To encourage self-reliance and self-care and to prevent psychological complications and ensure optimum quality of life .,5 . आत्मनिर्भरता तथा स्वयं देखभाल को प्रोत्साZहित करना तथा मनोवैज्ञानिक जटिलताओं को कम करना
indic2012,olden hindi literature and history,आधुनिक हिंदी साहित्य का इतिहास
indic2012,"(through Regional Committee of MQM, Peshawar)",(द्वारा एम क्यु एम प्रान्तीय कमिटी पेशावर)
ted,but not so close,लेकिन ज्यादा पास नहीं
ted,"What the Audio Home Recording Act of 1992 said was,","१९९२ का द ऑडियो होम रिकार्डिंग एक्ट ये कहता है कि,"
tides,"Those planning to undertake such work can consult their local authority before proceeding , and ask them to make their requirements known .",जो इस प्रकार का काम करने की सोच रहे हों उन्हें काम शुरू करने से पहले अपनी लोकल अथॉरिटी से बात करनी चाहिए और उस को अपनी आवश्यकताओं के बारे में जानकारी देनी चाहिए .
ted,Push it and it becomes house shaped.,"इसे थोडा धकेल दीजिये, और ये झोपडी जैसा हो गया।"
tides,"Within the frame-work of the caste system , the son followed in the footsteps of his father , as the design and station in life of each were believed to be pre-ordained .",क़्योंकि प्रचलित विश्वास के अनुसार यह पूर्वनिश्चित होता था कि प्रत्येक व्यक्ति का भविष्य में जीवन कैसा होगा और वह क़्या कार्य करेगा .
indic2012,"In the period of British rule, the gardens were transformed on the lines of gardens in London.",जब ब्रिटिश राज्य में इसका प्रबन्धन आया तो उन्होंने इसके बागों को लंडन के बगीचों की भांति बदल दिया।
tides,"The largest ground in the world is at Melbourne in Australia where they can accommodate 1,20,000 spectators .","दुनिया में सबसे बड़ा क्रिकेट ग्राउंड मेलबोर्न ( आस्ट्रेलिया ) में है जहां 1,20,000 दर्शकों के बैठने की व्यवव्था है ."
tides,The steps leading up to the frontal agra-mandapa are flanked by the large stone elephants .,अग्रमंडप को ले जाने वाले सोपान के अलग-बगल बड़े पाषाण गज हैं .
ted,So I run right upstairs.,तो मैं फौरन सीडियों से ऊपर भागा |
tides,Latterly there has been an intersting development in the speaches and statements of some of the Muslim communal leaders .,पिछले दिनों कुछ मुसलमान सांप्रदायिक नेताओं के व्याख़्यानों और वक़्तव्यों में एक मजेदार तब्दीली हुई है .
indic2012,Sewage treatment is done at Worli and Bandra and is expelled into the Kar sea.,सीवेज ट्रीटमेंट वर्ली और बांद्रा में कर सागर में निष्कासित किया जाता है।
ted,You could abuse it.,आप इसका दुरूपयोग कर सकते हैं |
indic2012,"Like Saraswathi Bharav, Shaurya and Ganesh Kunda etc.",जैसे सरस्वती भरव सौर्य और गणोश कुंड आदि।
indic2012,Ratnakar Jgaannadhdass texts of modern-day poets Gangawataran Kapil Muni Cursed by the sixty thousand sons of Sagar Liean Bhagirath's “”Bhagirath - penance“” is a story of being descended from the Ganges to the ground!,आधुनिक काल के कवियों में जगन्नाथदास रत्नाकर के ग्रंथ गंगावतरण में कपिल मुनि द्वारा शापित सगर के साठ हजार पुत्रों के उद्धार के लिए भगीरथ की भगीरथ-तपस्या से गंगा के भूमि पर अवतरित होने की कथा है।
tides,"As the cortege made its sad way from Varanasi to Mirzapur , the twelve had their pockets picked .",उनकी शवयात्रा वाराणसी से मिर्जापुर की ओर बढे रही थी कि भीड़े-भाड़े में मौके का फायदा उ आकर कुछ जेबकतरों ने 12 लगों की जेबें साफ कर दीं .
tides,"Moon in the fourth , eight and twelfth houses is considered inauspicious .","पर इनकी आठवां , बारहवां चंद्रमा अशुभ समझा जाता है ."
ted,"with sub-orbital capability, and I think very soon this.",और बहुत ही जल्द ये सुविधा भी.
indic2012,His ignorance got destroyed and He attained Nirvana or Bodhi at the age of 35 he became a Buddha.,उनकी अविजया नष्ट हो गई और उन्हे निर्वन यानि बोधि प्राप्त हुई और वे ३५ की उम्र तक बुद्ध बन गये।
indic2012,Mahamayanagar District [Hathras District],महामयानगर जिला (हाथरस जिला)
indic2012,on this day lord rama will Goes on lord Ravana,इसी दिन राम ने रावण पर विजय प्राप्त की थी।
tides,"The growing stock needs more of proteins for the repair of tissues , minerals for the building up of bones and vitamins for a healthy growth .","बढ़ रहे सूअर को तो अपने ऊतकों के लिए अधिक प्रोटीनों की , हड्डियां बनाने के लिए खनिजों की और स्वस्थ विकास के लिए विटामिनों की आवश्यकता होती है ."
indic2012,Channel description,चैनल प्रकार
tides,"Borodin accomplished the mission that was entrusted to him which , he knew , could not have been accomplished but for Roy 's assistance .",बोरोडिन ने जो काम उन्हें सौपा था वह पूरा किया और वे जानते थे कि वह काम राय की मदद के बिना पूरा नहीं हो सकता था .
indic2012,For.,के लिए.
tides,"We sympathise with that difficulty , but that sympathy cannot make us forget our own difficulties and disabilities .","इस मुश्किल में हम सहानुभूति प्रकट करते हैं , लेकिन इस सहानुभूति का यह मतलब नहीं कि हम अपनी मुश्किलों और कमजोरियों को भूल जायें ."
indic2012,"Aap(Sall.) reached preacher's group and said to them “”Do you believe that there's no other god except Allah, I'm Allah's messenger and Koran is Allah's book?",आप (सल्ल.) सहाबा के ‎उस गुट के पास पहुंचे और उन से कहा- क्या तुम मानते हो कि अल्लाह के ‎अतिरिक्त कोई अन्य माबूद (ईश) नहीं है मैं अल्लाह का रसूल हुँ और कुरान अल्लाह की पुस्तक है?
ted,they don't have pension; they don't have healthcare; none of those things.,"पेंशन नहीं है, हेल्थ, उन चीजों में से कोई भी नहीं है."
ted,"who have the ability to confront the complex problems,","जिन्के पास कठिन समस्याओं से जूझने की क्षमता है,"
ted,We have to be responsible,अपने जीवन की सीमाओं को
tides,"Therefore , you mostly find that even the so-called scientific theorems of the Hindus are in a state of utter confusion , devoid of any logical order , and in the last instance always mixed up with the silly notions of the crowd . ..",यही कारण है कि आपको हिन्दुओं में अधिकत : यह देखने को मिलेगा कि तथाकथित वैज्ञानिक प्रमेय ऐसी ही अस्तव्यस्त अवस्था में पड़े हैं ; न उनमें कोई तार्किक क्रम है और अंत तक पहुंचते-पहुंचते जनसमूह की हास्यास्पद धारणाओं के साथ गड्डमड्ड हो गए हैं . . ..
ted,and even their great-grandparents.,"और परदादा, परनाना से भी।"
tides,"The eastern branch of the Chalukyas , ruling from Vengi , though excavating into soft rocks , followed a different mode and design in their cave-temples , which took in what was prevalent in eastern Andhra and northern Tamil Nadu , or Tondaimandalam , with Pallava affinities , thus inaugurating what was to be a distinct Andhra tradition , as opposed to what the Badami Chalukyas did for Kannada tradition and culture .","वेंगी से शासन करने वाली चालुक़्यों की पूर्वी शाखा ने , नरम चट्टानों में उत्खनन करने के बावजूद , अपने गुफा मंदिरों में एक अलग पद्धति और डिजाइन का अनुसरण किया , जिसमें पल्लव संबद्धताओं सहित पूर्वी आंध्र और उत्तरी तमिलनाडु या तोंडैमण्डलम में जो कुछ प्रचलित था , कुछ प्रचलित था , शामिल किया गया , और इस प्रकार बादामी चालुक़्यों द्वारा कन्नड़ परंपरा और संस्क्Qति के लिए जो कुछ किया गया , उसके विपरीत उन्होंने एक स्पष्ट आंध्र पंरपरा का प्रारंभ किया ."
